"PersonID","session","rt"
"101",1,2887.5
"101",2,2243.93333333333
"101",3,2363.72413793103
"101",4,2099.33333333333
"101",5,2475.8
"101",6,2220.66666666667
"102",1,2633.20689655172
"102",2,2389.42857142857
"102",3,2302.3
"102",4,1967.1
"102",5,2111.78571428571
"102",6,2248.10344827586
"105",1,2297.17857142857
"105",2,1989.66666666667
"105",3,1950.20689655172
"105",4,1550.03448275862
"105",5,1804.96551724138
"105",6,1810.57142857143
"106",1,1747.66666666667
"106",2,1424.8275862069
"106",3,1534.7
"106",4,1577.96666666667
"106",5,1323.23333333333
"106",6,1422.46666666667
"107",1,1637.07142857143
"107",2,1531.56666666667
"107",3,1640.06666666667
"107",4,1305.36666666667
"107",5,1516.2
"107",6,1473.86666666667
"108",1,2501.11538461538
"108",2,2329.53571428571
"108",3,2390.31034482759
"108",4,2365
"108",5,2363
"108",6,2287.39285714286
"109",1,1224.92592592593
"109",2,1329.16666666667
"109",3,1357.86956521739
"109",4,1443.85185185185
"109",5,1155.92
"109",6,1164.29166666667
"110",1,1772.75
"110",2,1857.96551724138
"110",3,1788.89655172414
"110",4,1458.89285714286
"110",5,1782.9
"110",6,1698.28571428571
"111",1,1259.07692307692
"111",2,1451.8275862069
"111",3,1277.7
"111",4,1155.9
"111",5,1248.10344827586
"111",6,1466.06666666667
"112",1,1973.10344827586
"112",2,1546.55172413793
"112",3,1391.23333333333
"112",4,1445.65517241379
"112",5,1452.93103448276
"112",6,1576.8275862069
"113",1,2004.56666666667
"113",2,1738.76666666667
"113",3,1665.03333333333
"113",4,1641.06666666667
"113",5,1680.2
"113",6,1620.23333333333
"116",1,1375.64285714286
"116",2,1371.64285714286
"116",3,1323.37931034483
"116",4,1340.57142857143
"116",5,1290.56666666667
"116",6,1153.89655172414
"117",1,2001.82142857143
"117",2,1861.92857142857
"117",3,1715.36666666667
"117",4,1776.20689655172
"117",5,1966.14285714286
"117",6,1746.44827586207
"118",1,1815.58620689655
"118",2,1788.2
"118",3,1650.89655172414
"118",4,1771.27586206897
"118",5,1684.96551724138
"118",6,1635.86206896552
"120",1,1203.10714285714
"120",2,1342.1724137931
"120",3,1351.06666666667
"120",4,1356.03333333333
"120",5,1365.86666666667
"120",6,1399.13333333333
"121",1,1882.1724137931
"121",2,1755.85714285714
"121",3,1977.1
"121",4,2137.60714285714
"121",5,2579
"121",6,1990.2
"124",1,2065
"124",2,2118.7
"124",3,2026.96551724138
"124",4,2218.33333333333
"124",5,1754.9
"124",6,1871.8275862069
"125",1,2246.1724137931
"125",2,2233.89285714286
"125",3,1857.5
"125",4,2045.5
"125",5,2063.1
"125",6,2007.5
"126",1,3462.43333333333
"126",2,1976.62068965517
"126",3,1996.78571428571
"126",4,2281.75
"126",5,2406.14285714286
"126",6,2584.07407407407
"127",1,2225.1
"127",2,2204.10714285714
"127",3,2300.56666666667
"127",4,2232.86206896552
"127",5,2073.24137931034
"127",6,1970.26666666667
"128",1,1634.84615384615
"128",2,1519.32142857143
"128",3,1606.38461538462
"128",4,1423.40740740741
"128",5,1555.8
"128",6,1579.13333333333
"129",1,2853.22222222222
"129",2,2274
"129",3,2162.1
"129",4,2342.96551724138
"129",5,2092.33333333333
"129",6,2050.56666666667
"130",1,1483.25925925926
"130",2,1890.46428571429
"130",3,1651.63333333333
"130",4,1206.5
"130",5,1596.13333333333
"130",6,1116.83333333333
"131",1,3065.34615384615
"131",2,3004.43333333333
"131",3,2957.76666666667
"131",4,2610.96551724138
"131",5,2716.06896551724
"131",6,2657.25
"132",1,2307.27586206897
"132",2,2422.80769230769
"132",3,2109.22222222222
"132",4,2147.66666666667
"132",5,2463.96666666667
"132",6,2149.20689655172
"133",1,1918.35714285714
"133",2,1613.34482758621
"133",3,1316.7037037037
"133",4,1492.06896551724
"133",5,1532.13793103448
"133",6,1366.37931034483
"136",1,2112.55555555556
"136",2,2050.36666666667
"136",3,1708.33333333333
"136",4,1609.06666666667
"136",5,1603.03333333333
"136",6,1480.73333333333
"137",1,4159.13636363636
"137",2,3185.07692307692
"137",3,2852.51724137931
"137",4,2354.76666666667
"137",5,2285.93103448276
"137",6,2211.46666666667
"138",1,2119.34615384615
"138",2,2281.62068965517
"138",3,2084.06666666667
"138",4,2107.75555555556
"138",5,2390.76086956522
"138",6,1972.23913043478
"139",1,3230.6
"139",2,3954.37209302326
"139",3,4086.13636363636
"139",4,3611.8
"139",5,3290.97826086957
"139",6,3226
"140",1,3293.42222222222
"140",2,2856.17777777778
"140",3,2485.37777777778
"140",4,2436.91304347826
"140",5,2338.93333333333
"140",6,2322.97826086957
"141",1,1413.63636363636
"141",2,1451.51162790698
"141",3,1505.95652173913
"141",4,1370.39130434783
"141",5,1321.70454545455
"141",6,1430.06818181818
"145",1,2324.57777777778
"145",2,2172.64444444444
"145",3,2202.36363636364
"145",4,2088.17391304348
"145",5,2326.69565217391
"145",6,2552.45
"147",1,1488.5
"147",2,1393.65384615385
"147",3,1474.91666666667
"147",4,1373.84615384615
"147",5,1563.28
"147",6,1449.46428571429
"148",1,1863.03703703704
"148",2,1506.07407407407
"148",3,1612.59259259259
"148",4,1461.34615384615
"148",5,1786.73913043478
"148",6,1379.92307692308
"149",1,2604.58333333333
"149",2,2446.76923076923
"149",3,2110.07142857143
"149",4,2273.96296296296
"149",5,1764.53571428571
"149",6,2018.17857142857
"150",1,2584.03571428571
"150",2,2320.51851851852
"150",3,2379.21428571429
"150",4,2134.25925925926
"150",5,1918.17857142857
"150",6,1780.57142857143
"151",1,2076.42857142857
"151",2,1943.07692307692
"151",3,1681.62962962963
"151",4,1840.24
"151",5,1889.64285714286
"151",6,2007.07142857143
"153",1,1140.55555555556
"153",2,1170.78571428571
"153",3,1197.19230769231
"153",4,1100.18518518519
"153",5,1103.2
"153",6,1019.10714285714
"154",1,2018.96428571429
"154",2,1681.11111111111
"154",3,1921.7037037037
"154",4,1692
"154",5,1735.66666666667
"154",6,1906.67857142857
"501",1,1470.86206896552
"501",2,1463.66666666667
"501",3,1352.33333333333
"501",4,1344.36666666667
"501",5,1227.66666666667
"501",6,1233.13333333333
"502",1,1750.27777777778
"502",2,1394.06666666667
"502",3,1162.43333333333
"502",4,1102.7
"502",5,982.766666666667
"502",6,1038.63333333333
"504",1,1773.58620689655
"504",2,2015.23333333333
"504",3,1879.33333333333
"504",4,1798.6
"504",5,1701.53333333333
"504",6,1641.23333333333
"507",1,2888.34615384615
"507",2,2428.10714285714
"507",3,2583.03703703704
"507",4,2520.89285714286
"507",5,2162.46428571429
"507",6,2293.17857142857
"508",1,1452.79310344828
"508",2,1515.23333333333
"508",3,1393.62068965517
"508",4,1348.03333333333
"508",5,1394.62068965517
"508",6,1337.68965517241
"509",1,1306.48148148148
"509",2,1350.75862068966
"509",3,1322.46666666667
"509",4,1287.16666666667
"509",5,1290.10714285714
"509",6,1506.41379310345
"511",1,2298.24137931034
"511",2,2499.62068965517
"511",3,2128.96666666667
"511",4,1905.36666666667
"511",5,2111.5
"511",6,1916.96551724138
"512",1,2162.86666666667
"512",2,1974.66666666667
"512",3,2034.23333333333
"512",4,1802.46666666667
"512",5,1803.86666666667
"512",6,2068
"513",1,1583.41379310345
"513",2,1280.6
"513",3,1448.43333333333
"513",4,1243.33333333333
"513",5,1169.76666666667
"513",6,1196.26666666667
"514",1,1772.24137931034
"514",2,1951.07142857143
"514",3,1869.85714285714
"514",4,1892.57142857143
"514",5,1477.5
"514",6,1604.34482758621
"515",1,1395.03333333333
"515",2,1300.76666666667
"515",3,1443.7
"515",4,1421.03333333333
"515",5,1388
"515",6,1285.26666666667
"516",1,1539.76666666667
"516",2,1430
"516",3,1283.1
"516",4,1331.23333333333
"516",5,1257.6
"516",6,1161
"517",1,1676.07142857143
"517",2,1328.79310344828
"517",3,1240.75
"517",4,1286
"517",5,1303.66666666667
"517",6,1159.92857142857
"518",1,1217.85714285714
"518",2,1096.07142857143
"518",3,1075.88461538462
"518",4,930.461538461538
"518",5,1051.6
"518",6,917.666666666667
"519",1,1335.67857142857
"519",2,1388.73333333333
"519",3,1294.06666666667
"519",4,1204.06666666667
"519",5,1190.34482758621
"519",6,1272.68965517241
"520",1,1972.36666666667
"520",2,2251.7
"520",3,2082.24137931034
"520",4,2015.51724137931
"520",5,1816.93103448276
"520",6,1736.75862068966
"521",1,1861.13333333333
"521",2,1841.14285714286
"521",3,1780.75
"521",4,2059.33333333333
"521",5,2396.93333333333
"521",6,2170.86206896552
"522",1,2349.72413793103
"522",2,2270.46428571429
"522",3,1777.24137931034
"522",4,2227.53333333333
"522",5,1789.68965517241
"522",6,2076.7
"523",1,1942.82142857143
"523",2,2117.9
"523",3,1809.96551724138
"523",4,1948.8275862069
"523",5,1708.26666666667
"523",6,1874.5
"524",1,2204.62068965517
"524",2,1725.32142857143
"524",3,1793.13793103448
"524",4,1717.07142857143
"524",5,2051.46666666667
"524",6,1942.53333333333
"525",1,2136.83333333333
"525",2,2202.8275862069
"525",3,2225.75862068966
"525",4,2272.31034482759
"525",5,2356.66666666667
"525",6,2221.79310344828
"526",1,1867.2
"526",2,1914.9
"526",3,1945.86206896552
"526",4,1873.23333333333
"526",5,1913.41379310345
"526",6,1301.51724137931
"527",1,1555.37931034483
"527",2,1403.53333333333
"527",3,1575.83333333333
"527",4,1420.3
"527",5,1361.93333333333
"527",6,1266.33333333333
"528",1,2298.51724137931
"528",2,2347.73333333333
"528",3,2441.2
"528",4,3078.7
"528",5,2688.63333333333
"528",6,2220.93333333333
"529",1,1306.88888888889
"529",2,1389.76470588235
"529",3,1062.28
"529",4,1303.36
"529",5,1458.59259259259
"529",6,1404.51851851852
"530",1,1813.2
"530",2,1591.2
"530",3,1648.8
"530",4,1474.03333333333
"530",5,1535.86206896552
"530",6,1634.23333333333
"531",1,2094.68965517241
"531",2,1924.56666666667
"531",3,2121.2
"531",4,1963.6
"531",5,2031.06666666667
"531",6,2106.48275862069
"532",1,2488.20689655172
"532",2,2243.37037037037
"532",3,2160.14285714286
"532",4,2437.14285714286
"532",5,2124.32142857143
"532",6,2393.4
"533",1,1960.26666666667
"533",2,1809.36666666667
"533",3,1575.37931034483
"533",4,1909.37931034483
"533",5,1575.33333333333
"533",6,1299.60714285714
"534",1,1747.88888888889
"534",2,1704.65517241379
"534",3,2146.86666666667
"534",4,1624.03448275862
"534",5,1536.33333333333
"534",6,1602.6
"535",1,1449.93333333333
"535",2,1167.1
"535",3,1260.03571428571
"535",4,1308.03448275862
"535",5,1152.06896551724
"535",6,1367.62068965517
"536",1,1761.3
"536",2,1731.23333333333
"536",3,1641.93103448276
"536",4,2027.75
"536",5,1730.3
"536",6,1600.76666666667
"537",1,1606
"537",2,1149.48148148148
"537",3,1281.34482758621
"537",4,1249.46428571429
"537",5,1137.9
"537",6,1212.51724137931
"538",1,1657.41379310345
"538",2,1781.13333333333
"538",3,1595.58620689655
"538",4,1657.93333333333
"538",5,1644.89655172414
"538",6,1383.53571428571
"539",1,1798.8
"539",2,1578.26666666667
"539",3,1381.89285714286
"539",4,1218.1
"539",5,1297.72413793103
"539",6,1166.3
"540",1,1612.5
"540",2,1245.08
"540",3,1314.5
"540",4,1569.20833333333
"540",5,1371.12
"540",6,1509.13636363636
"541",1,2494.28571428571
"541",2,1777.96666666667
"541",3,1810.86666666667
"541",4,1571.1
"541",5,1454.76666666667
"541",6,1491.6
"542",1,1625.34482758621
"542",2,1314.36666666667
"542",3,1391.96666666667
"542",4,1188.66666666667
"542",5,1309.66666666667
"542",6,1441.46666666667
"543",1,1584.16666666667
"543",2,1224.5
"543",3,1162.53333333333
"543",4,1176.5
"543",5,1214.33333333333
"543",6,1287.3
"544",1,2493.24137931034
"544",2,2218.44827586207
"544",3,1892.33333333333
"544",4,1974.14285714286
"544",5,1973.32142857143
"544",6,2088.56666666667
"545",1,1055.4
"545",2,991.285714285714
"545",3,992.925925925926
"545",4,1090.31034482759
"545",5,1061.62068965517
"545",6,1007.03448275862
"546",1,2055.35714285714
"546",2,1898.03448275862
"546",3,1693.8
"546",4,1829.8
"546",5,1605.36666666667
"546",6,1667.03333333333
"547",1,1613.16666666667
"547",2,1359.93333333333
"547",3,1417.1
"547",4,1394.26666666667
"547",5,1249.56666666667
"547",6,1433.96666666667
"548",1,1867.75862068966
"548",2,1667.67857142857
"548",3,1685.96296296296
"548",4,1592.96551724138
"548",5,1602.7
"548",6,1607.03333333333
"549",1,2321.33333333333
"549",2,1496.46666666667
"549",3,1837.13333333333
"549",4,1563.63333333333
"549",5,1669.5
"549",6,1563.63333333333
"550",1,1701.89285714286
"550",2,1320.96551724138
"550",3,1409.9
"550",4,1432.43333333333
"550",5,1271.96428571429
"550",6,1412.33333333333
"551",1,2871.24
"551",2,3415.78571428571
"551",3,2960.75862068966
"551",4,2686.89285714286
"551",5,2928.22222222222
"551",6,2806.46666666667
"552",1,1637.20689655172
"552",2,1373.13333333333
"552",3,1278.23333333333
"552",4,1175.36666666667
"552",5,1214.56666666667
"552",6,1264.46666666667
"553",1,2511.63333333333
"553",2,1963.33333333333
"553",3,2006.1724137931
"553",4,1820.43333333333
"553",5,1922.43333333333
"553",6,2066.53333333333
"554",1,1453.20689655172
"554",2,1437.53333333333
"554",3,1300.03333333333
"554",4,1396.36666666667
"554",5,1388
"554",6,1410.6
"555",1,2191.07692307692
"555",2,1755.71428571429
"555",3,1361.67857142857
"555",4,1459.60714285714
"555",5,1391.10714285714
"555",6,1363.43333333333
"556",1,2325.20689655172
"556",2,2119.93103448276
"556",3,1817.03448275862
"556",4,2018.53571428571
"556",5,2021.68965517241
"556",6,1947.51111111111
"557",1,2327.66666666667
"557",2,1784.52631578947
"557",3,1610.875
"557",4,1588.05
"557",5,1312.46153846154
"557",6,1109.59259259259
"558",1,1725.33333333333
"558",2,1919.6
"558",3,1684.73913043478
"558",4,1789.82608695652
"558",5,1945.0652173913
"558",6,1842.97826086957
"559",1,1092.79069767442
"559",2,1131.47826086957
"559",3,1010.04347826087
"559",4,1080.57777777778
"559",5,1031.9347826087
"559",6,979.95652173913
"560",1,1554.91111111111
"560",2,1274.54347826087
"560",3,1249.91304347826
"560",4,1280.86956521739
"560",5,1480.23913043478
"560",6,1394.52173913043
"561",1,1941.73170731707
"561",2,1905.40476190476
"561",3,1904.53333333333
"561",4,1869.68888888889
"561",5,1485.4
"561",6,1751.02173913043
"562",1,1392.63043478261
"562",2,1752.65909090909
"562",3,1542.86956521739
"562",4,1389.04444444444
"562",5,1467.77777777778
"562",6,1315.77272727273
"563",1,1559.14285714286
"563",2,1590.34782608696
"563",3,1690.32558139535
"563",4,1617.08888888889
"563",5,1820.86956521739
"563",6,1469.46666666667
"564",1,1960.33333333333
"564",2,1746.44
"564",3,1434.92592592593
"564",4,1456.14285714286
"564",5,1325.10714285714
"564",6,1387
"565",1,1779.08695652174
"565",2,1459.71428571429
"565",3,1505.125
"565",4,1433.38461538462
"565",5,1709.92592592593
"565",6,1627.10714285714
